Weekday,datum,Year,Month,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,M01AB_s_sod,M01AB_s_eod,M01AE_s_sod,M01AE_s_eod,N02BA_s_sod,N02BA_s_eod,N02BE_s_sod,N02BE_s_eod,N05B_s_sod,N05B_s_eod,N05C_s_sod,N05C_s_eod,R03_s_sod,R03_s_eod,R06_s_sod,R06_s_eod
Thursday,5/4/2017,2017,5,5.67,5.66,1,11.6,4,0,2,4.1,37.51791667,31.84791667,36.21835417,30.55835417,21.691,20.691,160.4822917,148.8822917,30.06250003,26.06250003,2.125,2.125,73.13541667,71.13541667,51.0625,46.9625
Friday,5/5/2017,2017,5,2.34,5.33,1.15,6.6,8,0,12,3,31.84791667,29.50791667,30.55835417,25.22835417,20.691,19.541,148.8822917,142.2822917,26.06250003,18.06250003,2.125,2.125,71.13541667,59.13541667,46.9625,43.9625
Saturday,5/6/2017,2017,5,7.33,2.363,4.4,14,4,0,0,6,29.50791667,22.17791667,25.22835417,22.86535417,19.541,15.141,142.2822917,128.2822917,18.06250003,14.06250003,2.125,2.125,59.13541667,59.13541667,43.9625,37.9625
Sunday,5/7/2017,2017,5,6.33,3.67,4.5,18.25,3,0,4,4,82.17791667,75.84791667,61.86535417,58.19535417,55.141,50.641,128.2822917,110.0322917,69.06250003,66.06250003,9.125,9.125,59.13541667,55.13541667,94.9625,90.9625
Monday,5/8/2017,2017,5,2.33,3.66,1,8,8,3,1,5.6,75.84791667,73.51791667,58.19535417,54.53535417,50.641,49.641,110.0322917,102.0322917,66.06250003,58.06250003,9.125,6.125,55.13541667,54.13541667,90.9625,85.3625
Tuesday,5/9/2017,2017,5,7.33,4,4.1,11,4,0,2,3,73.51791667,66.18791667,54.53535417,50.53535417,49.641,45.541,102.0322917,91.03229166,58.06250003,54.06250003,6.125,6.125,54.13541667,52.13541667,85.3625,82.3625
Wednesday,5/10/2017,2017,5,8.66,0.397,9,15,4,0,14,7,66.18791667,57.52791667,50.53535417,50.13835417,45.541,36.541,91.03229166,76.03229166,54.06250003,50.06250003,6.125,6.125,52.13541667,38.13541667,82.3625,75.3625
Thursday,5/11/2017,2017,5,6,6.693,3,16,6,2,1,10,57.52791667,51.52791667,50.13835417,43.44535417,36.541,33.541,76.03229166,60.03229166,50.06250003,44.06250003,6.125,4.125,38.13541667,37.13541667,75.3625,65.3625
Friday,5/12/2017,2017,5,4.99,4.703,6,16.4,4,2,0,6,51.52791667,46.53791667,43.44535417,38.74235417,33.541,27.541,60.03229166,43.63229166,44.06250003,40.06250003,4.125,2.125,37.13541667,37.13541667,65.3625,59.3625
Saturday,5/13/2017,2017,5,5,2.363,6,12,4,0,1,7,46.53791667,41.53791667,38.74235417,36.37935417,27.541,21.541,43.63229166,31.63229166,40.06250003,36.06250003,2.125,2.125,37.13541667,36.13541667,59.3625,52.3625
Sunday,5/14/2017,2017,5,4.67,2.076,2.85,31.5,6,0,5,2.1,41.53791667,36.86791667,80.37935417,78.30335417,21.541,18.691,226.6322917,195.1322917,36.06250003,30.06250003,9.125,9.125,36.13541667,31.13541667,52.3625,50.2625
Monday,5/15/2017,2017,5,5.34,4.703,2,17,0,3,3,7,36.86791667,31.52791667,78.30335417,73.60035417,18.691,16.691,195.1322917,178.1322917,30.06250003,30.06250003,9.125,6.125,31.13541667,28.13541667,50.2625,43.2625
Tuesday,5/16/2017,2017,5,2.33,5.66,1.5,16.2,2,0,6,7,31.52791667,29.19791667,73.60035417,67.94035417,16.691,15.191,178.1322917,161.9322917,30.06250003,28.06250003,6.125,6.125,28.13541667,22.13541667,43.2625,36.2625
Wednesday,5/17/2017,2017,5,6.34,4.84,0,9,5,0,0,2,29.19791667,22.85791667,67.94035417,63.10035417,15.191,15.191,161.9322917,152.9322917,28.06250003,23.06250003,6.125,6.125,22.13541667,22.13541667,36.2625,34.2625
Thursday,5/18/2017,2017,5,3.33,5.01,4,28.2,4,0,0,3,22.85791667,19.52791667,63.10035417,58.09035417,15.191,11.191,152.9322917,124.7322917,23.06250003,19.06250003,6.125,6.125,22.13541667,22.13541667,34.2625,31.2625
Friday,5/19/2017,2017,5,4.34,3.44,2.2,31.6,11,0,0,10,19.52791667,15.18791667,58.09035417,54.65035417,11.191,8.990999999,124.7322917,93.13229166,19.06250003,8.062500029,6.125,6.125,22.13541667,22.13541667,31.2625,21.2625
Saturday,5/20/2017,2017,5,3.99,4.713,0.25,16.4,5,0,6,6,15.18791667,11.19791667,54.65035417,49.93735417,8.990999999,8.740999999,93.13229166,76.73229166,8.062500029,3.062500029,6.125,6.125,22.13541667,16.13541667,21.2625,15.2625
Sunday,5/21/2017,2017,5,6,3.043,1.25,32.2,5,0,12,4,63.19791667,57.19791667,49.93735417,46.89435417,35.741,34.491,295.7322917,263.5322917,73.06250003,68.06250003,6.125,6.125,65.13541667,53.13541667,85.2625,81.2625
Monday,5/22/2017,2017,5,5.33,1.34,4.4,22.4,5,0,7,11,57.19791667,51.86791667,46.89435417,45.55435417,34.491,30.091,263.5322917,241.1322917,68.06250003,63.06250003,6.125,6.125,53.13541667,46.13541667,81.2625,70.2625
Tuesday,5/23/2017,2017,5,3,2.406,5,11,9,0,2,7,51.86791667,48.86791667,45.55435417,43.14835417,30.091,25.091,241.1322917,230.1322917,63.06250003,54.06250003,6.125,6.125,46.13541667,44.13541667,70.2625,63.2625
Wednesday,5/24/2017,2017,5,6.68,3.34,3,14.2,9,0,4,4.71,48.86791667,42.18791667,43.14835417,39.80835417,25.091,22.091,230.1322917,215.9322917,54.06250003,45.06250003,6.125,6.125,44.13541667,40.13541667,63.2625,58.5525
Thursday,5/25/2017,2017,5,5.66,5.36,2,18.2,3,0,2,4.3,42.18791667,36.52791667,39.80835417,34.44835417,22.091,20.091,215.9322917,197.7322917,45.06250003,42.06250003,6.125,6.125,40.13541667,38.13541667,58.5525,54.2525
Friday,5/26/2017,2017,5,2.34,3.67,5,29,4,0,8,2,36.52791667,34.18791667,34.44835417,30.77835417,20.091,15.091,197.7322917,168.7322917,42.06250003,38.06250003,6.125,6.125,38.13541667,30.13541667,54.2525,52.2525
Saturday,5/27/2017,2017,5,7.33,3.221,2,23.4,5,0,0,10,34.18791667,26.85791667,30.77835417,27.55735417,15.091,13.091,168.7322917,145.3322917,38.06250003,33.06250003,6.125,6.125,30.13541667,30.13541667,52.2525,42.2525
Sunday,5/28/2017,2017,5,1.99,6.243,2.45,11.19,2,0,0,3,68.85791667,66.86791667,66.55735417,60.31435417,49.091,46.641,370.3322917,359.1422917,84.06250003,82.06250003,15.125,15.125,30.13541667,30.13541667,42.2525,39.2525
Monday,5/29/2017,2017,5,3.34,4.023,1.6,28,4,2,4,5,66.86791667,63.52791667,60.31435417,56.29135417,46.641,45.041,359.1422917,331.1422917,82.06250003,78.06250003,15.125,13.125,30.13541667,26.13541667,39.2525,34.2525
Tuesday,5/30/2017,2017,5,8,3.396,4.3,25,3,0,5,5,63.52791667,55.52791667,56.29135417,52.89535417,45.041,40.741,331.1422917,306.1422917,78.06250003,75.06250003,13.125,13.125,26.13541667,21.13541667,34.2525,29.2525
Wednesday,5/31/2017,2017,5,4,2.429,7,12.2,6,4,1,5,55.52791667,51.52791667,52.89535417,50.46635417,40.741,33.741,306.1422917,293.9422917,75.06250003,69.06250003,13.125,9.125,21.13541667,20.13541667,29.2525,24.2525
Thursday,6/1/2017,2017,6,1.34,3.67,2,21.4,10,0,2,2,51.52791667,50.18791667,50.46635417,46.79635417,33.741,31.741,293.9422917,272.5422917,69.06250003,59.06250003,9.125,9.125,20.13541667,18.13541667,24.2525,22.2525
Friday,6/2/2017,2017,6,2.33,4,4,17.4,9,1,5,3,50.18791667,47.85791667,46.79635417,42.79635417,31.741,27.741,272.5422917,255.1422917,59.06250003,50.06250003,9.125,8.125,18.13541667,13.13541667,22.2525,19.2525
Saturday,6/3/2017,2017,6,5,1.726,3,10,3,1,12,2,47.85791667,42.85791667,42.79635417,41.07035417,27.741,24.741,255.1422917,245.1422917,50.06250003,47.06250003,8.125,7.125,13.13541667,1.135416665,19.2525,17.2525
Sunday,6/4/2017,2017,6,7,1.747,2.25,23.4,3,1,5,4,42.85791667,35.85791667,41.07035417,39.32335417,24.741,22.491,245.1422917,221.7422917,107.0625,104.0625,7.125,6.125,76.13541667,71.13541667,70.2525,66.2525
Monday,6/5/2017,2017,6,3.33,5.99,4.5,9.7,5,0,0,8,35.85791667,32.52791667,39.32335417,33.33335417,22.491,17.991,221.7422917,212.0422917,104.0625,99.06250003,6.125,6.125,71.13541667,71.13541667,66.2525,58.2525
Tuesday,6/6/2017,2017,6,1,3,0,18,3,0,6,7.5,32.52791667,31.52791667,33.33335417,30.33335417,17.991,17.991,212.0422917,194.0422917,99.06250003,96.06250003,6.125,6.125,71.13541667,65.13541667,58.2525,50.7525
Wednesday,6/7/2017,2017,6,5.33,4.693,4,21,13,0,20,7,31.52791667,26.19791667,30.33335417,25.64035417,17.991,13.991,194.0422917,173.0422917,96.06250003,83.06250003,6.125,6.125,65.13541667,45.13541667,50.7525,43.7525
Thursday,6/8/2017,2017,6,5,1.823,3.15,21,4,0,2,4.2,26.19791667,21.19791667,25.64035417,23.81735417,13.991,10.841,173.0422917,152.0422917,83.06250003,79.06250003,6.125,6.125,45.13541667,43.13541667,43.7525,39.5525
Friday,6/9/2017,2017,6,1.33,4.09,3.1,10,2,0,0,6,21.19791667,19.86791667,23.81735417,19.72735417,10.841,7.740999999,152.0422917,142.0422917,79.06250003,77.06250003,6.125,6.125,43.13541667,43.13541667,39.5525,33.5525
Saturday,6/10/2017,2017,6,9,7.01,4,15,2,0,7,3,19.86791667,10.86791667,19.72735417,12.71735417,7.740999999,3.740999999,142.0422917,127.0422917,77.06250003,75.06250003,6.125,6.125,43.13541667,36.13541667,33.5525,30.5525
Sunday,6/11/2017,2017,6,5.5,3.99,8.5,28.25,8,0,2,3,51.86791667,46.36791667,52.71735417,48.72735417,38.741,30.241,127.0422917,98.79229166,75.06250003,67.06250003,6.125,6.125,84.13541667,82.13541667,93.5525,90.5525
Monday,6/12/2017,2017,6,4.34,3.34,1,13.6,3,0,13,12,46.36791667,42.02791667,48.72735417,45.38735417,30.241,29.241,98.79229166,85.19229166,67.06250003,64.06250003,6.125,6.125,82.13541667,69.13541667,90.5525,78.5525
Tuesday,6/13/2017,2017,6,2.99,3.023,3,8,9,0,0,9.1,42.02791667,39.03791667,45.38735417,42.36435417,29.241,26.241,85.19229166,77.19229166,64.06250003,55.06250003,6.125,6.125,69.13541667,69.13541667,78.5525,69.4525
Wednesday,6/14/2017,2017,6,1.33,1.33,1,9,6,3,5,3,39.03791667,37.70791667,42.36435417,41.03435417,26.241,25.241,77.19229166,68.19229166,55.06250003,49.06250003,6.125,3.125,69.13541667,64.13541667,69.4525,66.4525
Thursday,6/15/2017,2017,6,3,4.33,3.15,15,10,0,5,6.5,37.70791667,34.70791667,41.03435417,36.70435417,25.241,22.091,68.19229166,53.19229166,49.06250003,39.06250003,3.125,3.125,64.13541667,59.13541667,66.4525,59.9525
Friday,6/16/2017,2017,6,4,2.01,0,12.25,6,0,0,5.44,34.70791667,30.70791667,36.70435417,34.69435417,22.091,22.091,53.19229166,40.94229166,39.06250003,33.06250003,3.125,3.125,59.13541667,59.13541667,59.9525,54.5125
Saturday,6/17/2017,2017,6,2,8.726,5,12,4,0,5,5,30.70791667,28.70791667,34.69435417,25.96835417,22.091,17.091,40.94229166,28.94229166,33.06250003,29.06250003,3.125,3.125,59.13541667,54.13541667,54.5125,49.5125
Sunday,6/18/2017,2017,6,4,7.34,1.1,26.6,2,0,12,3.33,66.70791667,62.70791667,63.96835417,56.62835417,17.091,15.991,191.9422917,165.3422917,29.06250003,27.06250003,3.125,3.125,114.1354167,102.1354167,111.5125,108.1825
Monday,6/19/2017,2017,6,1.33,1.98,1,18,1,1,8,3,62.70791667,61.37791667,56.62835417,54.64835417,15.991,14.991,165.3422917,147.3422917,27.06250003,26.06250003,3.125,2.125,102.1354167,94.13541667,108.1825,105.1825
Tuesday,6/20/2017,2017,6,9.33,1,5.1,12,5,0,5,8.63,61.37791667,52.04791667,54.64835417,53.64835417,14.991,9.890999999,147.3422917,135.3422917,26.06250003,21.06250003,2.125,2.125,94.13541667,89.13541667,105.1825,96.5525
Wednesday,6/21/2017,2017,6,4,1.33,2,21,4,0,2,5.4,52.04791667,48.04791667,53.64835417,52.31835417,9.890999999,7.890999999,135.3422917,114.3422917,21.06250003,17.06250003,2.125,2.125,89.13541667,87.13541667,96.5525,91.1525
Thursday,6/22/2017,2017,6,1,3.34,0,7,4,0,8,11,48.04791667,47.04791667,52.31835417,48.97835417,7.890999999,7.890999999,114.3422917,107.3422917,17.06250003,13.06250003,2.125,2.125,87.13541667,79.13541667,91.1525,80.1525
Friday,6/23/2017,2017,6,1,1.34,2,16,5,0,0,1.2,47.04791667,46.04791667,48.97835417,47.63835417,7.890999999,5.890999999,107.3422917,91.34229166,13.06250003,8.062500029,2.125,2.125,79.13541667,79.13541667,80.1525,78.9525
Saturday,6/24/2017,2017,6,5,3.65,5,32,8,1,0,1,46.04791667,41.04791667,47.63835417,43.98835417,5.890999999,0.890999999,91.34229166,59.34229166,8.062500029,0.062500029,2.125,1.125,79.13541667,79.13541667,78.9525,77.9525
Sunday,6/25/2017,2017,6,6.5,2.34,6,22,4,0,0,4.6,89.04791667,82.54791667,43.98835417,41.64835417,53.891,47.891,251.3422917,229.3422917,67.06250003,63.06250003,1.125,1.125,79.13541667,79.13541667,77.9525,73.3525
Monday,6/26/2017,2017,6,7.68,3.033,6.25,10,11,0,0,3,82.54791667,74.86791667,41.64835417,38.61535417,47.891,41.641,229.3422917,219.3422917,63.06250003,52.06250003,1.125,1.125,79.13541667,79.13541667,73.3525,70.3525
Tuesday,6/27/2017,2017,6,4,3.32,6,13.5,9,0,3,6,74.86791667,70.86791667,38.61535417,35.29535417,41.641,35.641,219.3422917,205.8422917,52.06250003,43.06250003,1.125,1.125,79.13541667,76.13541667,70.3525,64.3525
Wednesday,6/28/2017,2017,6,4,4.033,4.5,18,7,0,5,3,70.86791667,66.86791667,35.29535417,31.26235417,35.641,31.141,205.8422917,187.8422917,43.06250003,36.06250003,1.125,1.125,76.13541667,71.13541667,64.3525,61.3525
Thursday,6/29/2017,2017,6,4,3.67,6,17,1,0,21,5,66.86791667,62.86791667,31.26235417,27.59235417,31.141,25.141,187.8422917,170.8422917,36.06250003,35.06250003,1.125,1.125,71.13541667,50.13541667,61.3525,56.3525
Friday,6/30/2017,2017,6,6.67,2.132,2,18,2,0,0,6,62.86791667,56.19791667,27.59235417,25.46035417,25.141,23.141,170.8422917,152.8422917,35.06250003,33.06250003,1.125,1.125,50.13541667,50.13541667,56.3525,50.3525
Saturday,7/1/2017,2017,7,3.33,2.33,1,10,5,0,10,4,56.19791667,52.86791667,25.46035417,23.13035417,23.141,22.141,152.8422917,142.8422917,33.06250003,28.06250003,1.125,1.125,50.13541667,40.13541667,50.3525,46.3525
Sunday,7/2/2017,2017,7,5,3.68,2,9,6,0,0,4,52.86791667,47.86791667,51.13035417,47.45035417,48.141,46.141,142.8422917,133.8422917,109.0625,103.0625,2.125,2.125,106.1354167,106.1354167,46.3525,42.3525
Monday,7/3/2017,2017,7,3.67,0,1.5,8,11,0,11,0,47.86791667,44.19791667,47.45035417,47.45035417,46.141,44.641,133.8422917,125.8422917,103.0625,92.06250003,2.125,2.125,106.1354167,95.13541667,42.3525,42.3525
Tuesday,7/4/2017,2017,7,10.67,2.34,5,18,7,0,0,6,44.19791667,33.52791667,47.45035417,45.11035417,44.641,39.641,125.8422917,107.8422917,92.06250003,85.06250003,2.125,2.125,95.13541667,95.13541667,42.3525,36.3525
Wednesday,7/5/2017,2017,7,4.5,1.66,2,16,20,0,22,6,33.52791667,29.02791667,45.11035417,43.45035417,39.641,37.641,107.8422917,91.84229166,85.06250003,65.06250003,2.125,2.125,95.13541667,73.13541667,36.3525,30.3525
Thursday,7/6/2017,2017,7,4.33,7,4,20.6,3,1,1,1,29.02791667,24.69791667,43.45035417,36.45035417,37.641,33.641,91.84229166,71.24229166,65.06250003,62.06250003,2.125,1.125,73.13541667,72.13541667,30.3525,29.3525
Friday,7/7/2017,2017,7,5,2,4.1,17,6,0,1,0,24.69791667,19.69791667,36.45035417,34.45035417,33.641,29.541,71.24229166,54.24229166,62.06250003,56.06250003,1.125,1.125,72.13541667,71.13541667,29.3525,29.3525
Saturday,7/8/2017,2017,7,4.99,4.089,5,16,12,0,1,3,19.69791667,14.70791667,34.45035417,30.36135417,29.541,24.541,54.24229166,38.24229166,56.06250003,44.06250003,1.125,1.125,71.13541667,70.13541667,29.3525,26.3525
Sunday,7/9/2017,2017,7,2.33,7.16,0.5,15,4,0,1,4,48.70791667,46.37791667,70.36135417,63.20135417,24.541,24.041,192.2422917,177.2422917,113.0625,109.0625,8.125,8.125,70.13541667,69.13541667,26.3525,22.3525
Monday,7/10/2017,2017,7,2,4.353,4,12,5,2,7,3,46.37791667,44.37791667,63.20135417,58.84835417,24.041,20.041,177.2422917,165.2422917,109.0625,104.0625,8.125,6.125,69.13541667,62.13541667,22.3525,19.3525
Tuesday,7/11/2017,2017,7,3.34,0.68,0,18,2,0,7,2,44.37791667,41.03791667,58.84835417,58.16835417,20.041,20.041,165.2422917,147.2422917,104.0625,102.0625,6.125,6.125,62.13541667,55.13541667,19.3525,17.3525
Wednesday,7/12/2017,2017,7,2,5.34,0,15.4,12,0,3,0,41.03791667,39.03791667,58.16835417,52.82835417,20.041,20.041,147.2422917,131.8422917,102.0625,90.06250003,6.125,6.125,55.13541667,52.13541667,17.3525,17.3525
Thursday,7/13/2017,2017,7,3.33,3.34,2.15,9.6,5,3,3,2,39.03791667,35.70791667,52.82835417,49.48835417,20.041,17.891,131.8422917,122.2422917,90.06250003,85.06250003,6.125,3.125,52.13541667,49.13541667,17.3525,15.3525
Friday,7/14/2017,2017,7,2.33,3.759,2,16,8,0,5,3,35.70791667,33.37791667,49.48835417,45.72935417,17.891,15.891,122.2422917,106.2422917,85.06250003,77.06250003,3.125,3.125,49.13541667,44.13541667,15.3525,12.3525
Saturday,7/15/2017,2017,7,3.33,9.34,3,21,3,0,0,2,33.37791667,30.04791667,45.72935417,36.38935417,15.891,12.891,106.2422917,85.24229166,77.06250003,74.06250003,3.125,3.125,44.13541667,44.13541667,12.3525,10.3525
Sunday,7/16/2017,2017,7,11.34,9.34,3,19,6,0,0,1,100.0479167,88.70791667,96.38935417,87.04935417,41.891,38.891,272.2422917,253.2422917,74.06250003,68.06250003,13.125,13.125,44.13541667,44.13541667,41.3525,40.3525
Monday,7/17/2017,2017,7,9,4.747,3,16.4,6,2,4,3,88.70791667,79.70791667,87.04935417,82.30235417,38.891,35.891,253.2422917,236.8422917,68.06250003,62.06250003,13.125,11.125,44.13541667,40.13541667,40.3525,37.3525
Tuesday,7/18/2017,2017,7,9.67,5.67,1.5,14,8,0,20,4,79.70791667,70.03791667,82.30235417,76.63235417,35.891,34.391,236.8422917,222.8422917,62.06250003,54.06250003,11.125,11.125,40.13541667,20.13541667,37.3525,33.3525
Wednesday,7/19/2017,2017,7,6.33,3.66,4,20.6,6,3,1,6,70.03791667,63.70791667,76.63235417,72.97235417,34.391,30.391,222.8422917,202.2422917,54.06250003,48.06250003,11.125,8.125,20.13541667,19.13541667,33.3525,27.3525
Thursday,7/20/2017,2017,7,5,4,3,18,11,2,2,2,63.70791667,58.70791667,72.97235417,68.97235417,30.391,27.391,202.2422917,184.2422917,48.06250003,37.06250003,8.125,6.125,19.13541667,17.13541667,27.3525,25.3525
Friday,7/21/2017,2017,7,2.33,1,3,14,5,0,0,3,58.70791667,56.37791667,68.97235417,67.97235417,27.391,24.391,184.2422917,170.2422917,37.06250003,32.06250003,6.125,6.125,17.13541667,17.13541667,25.3525,22.3525
Saturday,7/22/2017,2017,7,3,5.69,5,22,3,1,0,2,56.37791667,53.37791667,67.97235417,62.28235417,24.391,19.391,170.2422917,148.2422917,32.06250003,29.06250003,6.125,5.125,17.13541667,17.13541667,22.3525,20.3525
Sunday,7/23/2017,2017,7,6.5,2.429,2,12,4,0,4,5,53.37791667,46.87791667,62.28235417,59.85335417,19.391,17.391,148.2422917,136.2422917,92.06250003,88.06250003,5.125,5.125,17.13541667,13.13541667,20.3525,15.3525
Monday,7/24/2017,2017,7,3.84,1,2.1,15,6,0,0,3,46.87791667,43.03791667,59.85335417,58.85335417,17.391,15.291,136.2422917,121.2422917,88.06250003,82.06250003,5.125,5.125,13.13541667,13.13541667,15.3525,12.3525
Tuesday,7/25/2017,2017,7,6.34,2.35,2,14,5,0,6,0.1,43.03791667,36.69791667,58.85335417,56.50335417,15.291,13.291,121.2422917,107.2422917,82.06250003,77.06250003,5.125,5.125,13.13541667,7.135416665,12.3525,12.2525
Wednesday,7/26/2017,2017,7,3.33,6.779,3,15,11,1,1,1,36.69791667,33.36791667,56.50335417,49.72435417,13.291,10.291,107.2422917,92.24229166,77.06250003,66.06250003,5.125,4.125,7.135416665,6.135416665,12.2525,11.2525
Thursday,7/27/2017,2017,7,5,0.67,0,12.4,8,0,0,1,33.36791667,28.36791667,49.72435417,49.05435417,10.291,10.291,92.24229166,79.84229166,66.06250003,58.06250003,4.125,4.125,6.135416665,6.135416665,11.2525,10.2525
Friday,7/28/2017,2017,7,4,5,1.1,17.2,10,0,0,3,28.36791667,24.36791667,49.05435417,44.05435417,10.291,9.190999999,79.84229166,62.64229166,58.06250003,48.06250003,4.125,4.125,6.135416665,6.135416665,10.2525,7.2525
Saturday,7/29/2017,2017,7,3,3.33,2,14.15,1,0,0,4,24.36791667,21.36791667,44.05435417,40.72435417,9.190999999,7.190999999,62.64229166,48.49229166,48.06250003,47.06250003,4.125,4.125,6.135416665,6.135416665,7.2525,3.2525
Sunday,7/30/2017,2017,7,4.125,2.66,2,13,11,0,0,1,78.36791667,74.24291667,40.72435417,38.06435417,28.191,26.191,221.4922917,208.4922917,113.0625,102.0625,4.125,4.125,18.13541667,18.13541667,30.2525,29.2525
Monday,7/31/2017,2017,7,7.34,0.81,2.25,21,9,0,5,2,74.24291667,66.90291667,38.06435417,37.25435417,26.191,23.941,208.4922917,187.4922917,102.0625,93.06250003,4.125,4.125,18.13541667,13.13541667,29.2525,27.2525
Tuesday,8/1/2017,2017,8,7.33,3.33,2,15.6,3,0,1,1,66.90291667,59.57291667,37.25435417,33.92435417,23.941,21.941,187.4922917,171.8922917,93.06250003,90.06250003,4.125,4.125,13.13541667,12.13541667,27.2525,26.2525
Wednesday,8/2/2017,2017,8,6,2.66,1,25,2,0,1,4,59.57291667,53.57291667,33.92435417,31.26435417,21.941,20.941,171.8922917,146.8922917,90.06250003,88.06250003,4.125,4.125,12.13541667,11.13541667,26.2525,22.2525
Thursday,8/3/2017,2017,8,6.33,0.66,4,10,8,0,1,3,53.57291667,47.24291667,31.26435417,30.60435417,20.941,16.941,146.8922917,136.8922917,88.06250003,80.06250003,4.125,4.125,11.13541667,10.13541667,22.2525,19.2525
Friday,8/4/2017,2017,8,8,4,1,15,11,2,5,2,47.24291667,39.24291667,30.60435417,26.60435417,16.941,15.941,136.8922917,121.8922917,80.06250003,69.06250003,4.125,2.125,10.13541667,5.135416665,19.2525,17.2525
Saturday,8/5/2017,2017,8,4.66,2.472,2,13.312,2,0,0,2,39.24291667,34.58291667,26.60435417,24.13235417,15.941,13.941,121.8922917,108.5802917,69.06250003,67.06250003,2.125,2.125,5.135416665,5.135416665,17.2525,15.2525
Sunday,8/6/2017,2017,8,2,3.429,1,13,6,0,0,3,34.58291667,32.58291667,63.13235417,59.70335417,37.941,36.941,108.5802917,95.58029166,172.0625,166.0625,8.125,8.125,20.13541667,20.13541667,36.2525,33.2525
Monday,8/7/2017,2017,8,1,5.34,3.1,16,9,2,0,0,32.58291667,31.58291667,59.70335417,54.36335417,36.941,33.841,95.58029166,79.58029166,166.0625,157.0625,8.125,6.125,20.13541667,20.13541667,33.2525,33.2525
Tuesday,8/8/2017,2017,8,6,1.703,2.1,11.188,8,0,0,4.2,31.58291667,25.58291667,54.36335417,52.66035417,33.841,31.741,79.58029166,68.39229166,157.0625,149.0625,6.125,6.125,20.13541667,20.13541667,33.2525,29.0525
Wednesday,8/9/2017,2017,8,2.33,5.1,3.15,13,15,0,2,2.2,25.58291667,23.25291667,52.66035417,47.56035417,31.741,28.591,68.39229166,55.39229166,149.0625,134.0625,6.125,6.125,20.13541667,18.13541667,29.0525,26.8525
Thursday,8/10/2017,2017,8,0,3.99,4,9,19,0,3,1.1,23.25291667,23.25291667,47.56035417,43.57035417,28.591,24.591,55.39229166,46.39229166,134.0625,115.0625,6.125,6.125,18.13541667,15.13541667,26.8525,25.7525
Friday,8/11/2017,2017,8,4.33,1.65,5.1,8,6,3,0,0,23.25291667,18.92291667,43.57035417,41.92035417,24.591,19.491,46.39229166,38.39229166,115.0625,109.0625,6.125,3.125,15.13541667,15.13541667,25.7525,25.7525
Saturday,8/12/2017,2017,8,2.69,4.939,2.5,22.6,4,0,6,2,18.92291667,16.23291667,41.92035417,36.98135417,19.491,16.991,38.39229166,15.79229166,109.0625,105.0625,3.125,3.125,15.13541667,9.135416665,25.7525,23.7525
Sunday,8/13/2017,2017,8,3.66,3.65,2.05,24,5,0,1,1,68.23291667,64.57291667,36.98135417,33.33135417,48.991,46.941,202.7922917,178.7922917,105.0625,100.0625,3.125,3.125,30.13541667,29.13541667,23.7525,22.7525
Monday,8/14/2017,2017,8,11.34,2.067,4,13,4,0,0,2,64.57291667,53.23291667,33.33135417,31.26435417,46.941,42.941,178.7922917,165.7922917,100.0625,96.06250003,3.125,3.125,29.13541667,29.13541667,22.7525,20.7525
Tuesday,8/15/2017,2017,8,2.33,6.703,2.15,35,11,0,2,3,53.23291667,50.90291667,31.26435417,24.56135417,42.941,40.791,165.7922917,130.7922917,96.06250003,85.06250003,3.125,3.125,29.13541667,27.13541667,20.7525,17.7525
Wednesday,8/16/2017,2017,8,5.33,3.67,1,10.45,13,0,4,2,50.90291667,45.57291667,24.56135417,20.89135417,40.791,39.791,130.7922917,120.3422917,85.06250003,72.06250003,3.125,3.125,27.13541667,23.13541667,17.7525,15.7525
Thursday,8/17/2017,2017,8,5.16,1.33,5,12,8,0,1,1.5,45.57291667,40.41291667,20.89135417,19.56135417,39.791,34.791,120.3422917,108.3422917,72.06250003,64.06250003,3.125,3.125,23.13541667,22.13541667,15.7525,14.2525
Friday,8/18/2017,2017,8,2.33,3.99,3,15,4,0,0,3,40.41291667,38.08291667,19.56135417,15.57135417,34.791,31.791,108.3422917,93.34229166,64.06250003,60.06250003,3.125,3.125,22.13541667,22.13541667,14.2525,11.2525
Saturday,8/19/2017,2017,8,5,4.713,3,16,10,0,11,2,38.08291667,33.08291667,15.57135417,10.85835417,31.791,28.791,93.34229166,77.34229166,60.06250003,50.06250003,3.125,3.125,22.13541667,11.13541667,11.2525,9.2525
Sunday,8/20/2017,2017,8,4.33,2.056,6,14.4,6,0,2,1,90.08291667,85.75291667,50.85835417,48.80235417,28.791,22.791,310.3422917,295.9422917,122.0625,116.0625,3.125,3.125,45.13541667,43.13541667,30.2525,29.2525
Monday,8/21/2017,2017,8,9.33,3.34,2.4,19,4,0,0,0,85.75291667,76.42291667,48.80235417,45.46235417,22.791,20.391,295.9422917,276.9422917,116.0625,112.0625,3.125,3.125,43.13541667,43.13541667,29.2525,29.2525
Tuesday,8/22/2017,2017,8,6,1.34,3.15,22.2,3,0,0,2,76.42291667,70.42291667,45.46235417,44.12235417,20.391,17.241,276.9422917,254.7422917,112.0625,109.0625,3.125,3.125,43.13541667,43.13541667,29.2525,27.2525
